"id","Наименование одежды","Краткое описание","Цена (рубли)","Материалы","Сезонность","Цвет","Стиль"
27,"Сумка кросс-боди","Компактная сумка через плечо из кожи и экокожи, которая добавляет изысканности повседневному образу. Вместительная и стильная, она станет незаменимым аксессуаром в городской суете.",5500,"Кожа, экокожа","Всесезонные","Коричневая","повседневный"
28,"Шарф вязаный","Теплый вязаный шарф из шерсти и акрила, созданный для защиты от холода. Универсальный аксессуар, который дополнит как повседневный, так и элегантный образ в осенне-зимний период.",1500,"Шерсть, акрил","Осень, Зима","Красный","повседневный"
29,"Ботильоны на каблуке","Элегантные ботильоны на среднем каблуке, выполненные из кожи и замши, созданные для создания стильного образа в офисе или на вечеринке. Обеспечивают комфорт и уверенность в себе на протяжении всего дня.",6200,"Кожа, замша","Осень, Зима","Черные","деловой, вечерний"
30,"Футболка поло","Классическая футболка поло с воротником, изготовленная из хлопка, которая сочетает спортивный стиль с элегантностью. Удобный крой и легкая ткань делают её идеальной для теплых дней.",2000,"Хлопок","Лето, Весна","Синяя","повседневный, спортивный"
31,"Платье макси","Длинное макси-платье с расклешенным подолом, выполненное из шифона и хлопка, создающее романтичный и женственный образ. Прекрасно подходит для летних прогулок и вечерних мероприятий.",5800,"Шифон, хлопок","Лето","Желтое","романтический, вечерний"
32,"Свитер с высоким горлом","Теплый свитер с высоким воротником, выполненный из шерсти и акрила, разработанный для защиты от холода. Классический дизайн и уютная текстура делают его отличным выбором для осенне-зимнего сезона.",3900,"Шерсть, акрил","Осень, Зима","Коричневый","повседневный"
33,"Брюки-карго","Удобные брюки-карго свободного кроя с накладными карманами, изготовленные из хлопка и смесовой ткани. Практичный и стильный вариант для повседневного образа, сочетающий функциональность и моду.",3500,"Хлопок, смесовая ткань","Всесезонные","Оливковые","повседневный"
34,"Платье-сарафан","Легкое летнее платье-сарафан без рукавов, выполненное из хлопка и льна, которое дарит ощущение свежести и свободы движений. Идеально подходит для пляжа, прогулок и летних праздников.",2800,"Хлопок, лен","Лето","Белое","повседневный, романтический"
35,"Куртка пуховик","Теплая куртка-пуховик с натуральным пуховым наполнителем, созданная для защиты от низких температур. Современные технологии утепления и стильный дизайн делают её незаменимой в зимний период.",9000,"Полиэстер, пуховой наполнитель","Зима","Темно-синяя","повседневный"
36,"Туфли на платформе","Элегантные туфли на платформе, выполненные из кожи и экокожи, которые придают образу нотку ретро-шика. Идеальны для вечерних выходов, сочетая комфорт и оригинальный дизайн.",7500,"Кожа, экокожа","Всесезонные","Бежевые","вечерний"
37,"Брюки-джоггеры","Спортивные брюки-джоггеры с резинкой на поясе, изготовленные из хлопка и полиэстера. Обладают свободным кроем и современным дизайном, идеально подходящим для занятий спортом и повседневной носки.",2900,"Хлопок, полиэстер","Всесезонные","Черные","спортивный"
38,"Платье-рубашка","Легкое платье-рубашка с поясом, выполненное из хлопка и вискозы, сочетающее удобство рубашки и женственность платья. Подходит для офисного стиля и повседневных прогулок, создавая свежий и непринужденный образ.",3600,"Хлопок, вискоза","Весна, Лето","Светло-голубое","деловой, повседневный"
39,"Шапка вязаная","Теплая вязаная шапка из шерсти и акрила, созданная для защиты от холода. Стильный аксессуар с универсальным дизайном, который отлично дополнит зимний образ.",1200,"Шерсть, акрил","Осень, Зима","Темно-синяя","повседневный"
40,"Босоножки на каблуке","Стильные босоножки на среднем каблуке, выполненные из кожи и экокожи, создающие элегантный и женственный образ. Идеальны для летних мероприятий, сочетая комфорт и изысканность.",4500,"Кожа, экокожа","Лето","Золотые","вечерний"
41,"Платье-трапеция","Свободное платье-трапеция с расклешенным подолом, созданное для ежедневного комфорта и стильного образа. Легко комбинируется с аксессуарами, что позволяет создавать как повседневные, так и более нарядные образы.",3800,"Хлопок, вискоза","Весна, Лето","Розовое","повседневный, романтический"
42,"Пиджак двубортный","Классический двубортный пиджак из шерсти, который придает образу деловую строгость и элегантность. Идеален для официальных мероприятий, благодаря высокому качеству ткани и безупречному крою.",7000,"Шерсть","Всесезонные","Темно-серый","деловой"
43,"Юбка-тюльпан","Женственная юбка-тюльпан с объемным силуэтом, выполненная из полиэстера, которая подчеркивает фигуру и добавляет образу легкости. Прекрасно подходит для офисного стиля и вечерних выходов.",3100,"Полиэстер","Весна, Лето","Малиновая","деловой, вечерний"
44,"Куртка-парка","Теплая куртка-парка с меховой отделкой капюшона, созданная для защиты в холодное время года. Функциональный и стильный дизайн делает её идеальным выбором для зимних городских условий.",11000,"Нейлон, утеплитель","Зима","Оливковая","повседневный"
45,"Сандалии","Легкие летние сандалии с открытым носком, выполненные из кожи и текстиля, обеспечивающие комфорт при длительных прогулках. Практичный и стильный аксессуар для жаркого времени года.",2700,"Кожа, текстиль","Лето","Коричневые","повседневный"
46,"Брюки-клеш","Элегантные брюки-клеш с расклешенным силуэтом от колена, изготовленные из хлопка и смесовой ткани. Идеальны для создания стильного повседневного образа, сочетающего комфорт и модные тенденции.",3400,"Хлопок, смесовая ткань","Всесезонные","Темно-серые","повседневный"
47,"Платье-футляр с открытыми плечами","Стильное платье-футляр с открытыми плечами, которое подчеркивает элегантность и женственность. Идеально подходит для вечерних мероприятий, благодаря своему современному крою и утонченному дизайну.",4900,"Эластан","Лето, Весна","Черное","вечерний"
48,"Куртка-косуха","Кожаная куртка-косуха в стиле байкера, выполненная из натуральной кожи. Обладает агрессивным и модным дизайном, который отлично подходит для создания смелых повседневных и вечерних образов.",9500,"Кожа","Осень, Весна","Темно-коричневая","повседневный"
49,"Юбка-миди с запахом","Элегантная юбка-миди с запахом, выполненная из вискозы, которая подчеркивает талию и создает утонченный силуэт. Идеальна для создания офисного или повседневного образа.",3200,"Вискоза","Весна, Лето","Светло-серая","деловой, повседневный"
50,"Туфли-оксфорды","Классические туфли-оксфорды на шнуровке, изготовленные из кожи, создающие элегантный деловой образ. Идеальны для официальных мероприятий и прекрасно дополняют костюмный стиль.",5200,"Кожа","Всесезонные","Черные","деловой"
51,"Платье-комбинация","Короткое платье-комбинация с тонкими бретелями из шелка, подчеркивающее женственность и легкость образа. Идеально подходит для вечерних выходов, создавая утонченный и современный стиль.",4300,"Шелк","Лето","Изумрудное","вечерний"
52,"Куртка-аляска","Теплая куртка-аляска с меховой отделкой, разработанная для суровых зимних условий. Обеспечивает отличную защиту от холода и отличается современным дизайном, сочетающим функциональность и стиль.",10000,"Нейлон, утеплитель","Зима","Синяя","повседневный"
53,"Брюки-бананы","Стильные брюки-бананы свободного кроя из хлопка, создающие модный и непринужденный образ. Идеальны для повседневной носки, благодаря удобной посадке и актуальному дизайну.",3300,"Хлопок","Всесезонные","Темно-синие","повседневный"
54,"Платье-рубашка с поясом","Легкое платье-рубашка с поясом из хлопка, сочетающее удобство рубашки и женственность платья. Идеально подходит для офисного стиля и прогулок, благодаря свободному крою и элегантной линии талии.",3700,"Хлопок","Весна, Лето","Мятное","деловой, повседневный"
55,"Куртка-блейзер","Классическая куртка-блейзер из шерсти, обладающая строгим кроем и элегантной отделкой. Идеальна для деловых встреч и офисного стиля, сочетая в себе традиции и современность.",6800,"Шерсть","Всесезонные","Темно-серая","деловой"
56,"Юбка-мини","Модная короткая юбка-мини из денима и хлопка, подчеркивающая молодежный и динамичный стиль. Легко комбинируется с базовыми топами для создания яркого образа.",2500,"Деним, хлопок","Лето","Черная","повседневный"
57,"Туфли-лодочки","Классические туфли-лодочки на каблуке из кожи, создающие элегантный и утонченный образ для офиса или вечерних мероприятий. Обладают комфортной посадкой и изысканным дизайном.",5600,"Кожа","Всесезонные","Бежевые","деловой, вечерний"
58,"Платье-макси с цветочным принтом","Легкое платье-макси с ярким цветочным принтом из хлопка, создающее романтичный и летний образ. Идеально подходит для прогулок на свежем воздухе и праздничных мероприятий.",5000,"Хлопок","Лето","Многоцветное","романтический, повседневный"
59,"Куртка-пуховик с мехом","Теплая куртка-пуховик с меховой отделкой из полиэстера и утеплителя, обеспечивающая надежную защиту от зимнего холода. Современный дизайн и высокая функциональность делают её незаменимой в холодное время года.",12000,"Полиэстер, утеплитель","Зима","Серая","повседневный"
60,"Брюки-чинос","Классические брюки-чинос из хлопка, идеально подходящие для создания делового и повседневного образа. Элегантный крой и универсальность позволяют комбинировать их с рубашками и свитерами.",3000,"Хлопок","Всесезонные","Бежевые","деловой, повседневный"
61,"Платье-футляр с вырезом","Стильное платье-футляр с глубоким вырезом, выполненное из эластана, которое подчеркивает фигуру и создает эффектный вечерний образ. Идеально для торжественных мероприятий.",4700,"Эластан","Лето, Весна","Черное","вечерний"
62,"Куртка-джинсовка","Классическая джинсовая куртка из денима, разработанная для создания непринужденного повседневного образа. Прочная и универсальная, отлично подходит для межсезонья.",4500,"Деним","Весна, Осень","Светло-голубая","повседневный"
63,"Юбка-миди с разрезом","Женственная юбка-миди с боковым разрезом из вискозы, добавляющая образу изысканности и свободы движений. Идеальна для создания как офисного, так и вечернего стиля.",3400,"Вискоза","Весна, Лето","Темно-фиолетовая","деловой, вечерний"
64,"Туфли-мюли","Стильные туфли-мюли без задника на каблуке из кожи, создающие современный и минималистичный образ для лета. Обладают удобной посадкой и лаконичным дизайном.",3800,"Кожа","Лето","Бежевые","вечерний"
65,"Спортивная куртка","Легкая спортивная куртка из полиэстера, разработанная для тренировок и повседневной носки. Дышащая ткань и современный крой обеспечивают свободу движений и комфорт.",4200,"Полиэстер","Всесезонные","Синяя","спортивный"
66,"Мужская рубашка","Классическая мужская рубашка из хлопка, разработанная для делового стиля. Строгий крой, качественная ткань и аккуратный дизайн делают её незаменимой для офисного гардероба.",3200,"Хлопок","Всесезонные","Белая","деловой"
67,"Мужские брюки","Строгие мужские брюки из костюмной ткани, созданные для официального стиля и деловых встреч. Обладают элегантным кроем и комфортной посадкой, подчеркивая статус и уверенность.",4000,"Костюмная ткань","Всесезонные","Темно-серые","деловой"
68,"Мужской свитер","Уютный мужской свитер из шерсти, предназначенный для холодной погоды. Классический дизайн, мягкая текстура и тепло, которое он сохраняет, делают его идеальным для осенне-зимнего сезона.",2800,"Шерсть","Осень, Зима","Темно-синий","повседневный"
69,"Мужская футболка","Спортивная мужская футболка из хлопка, созданная для активного отдыха и повседневной носки. Легкая, дышащая ткань обеспечивает комфорт даже в жаркие дни.",1800,"Хлопок","Лето, Весна","Черная","спортивный, повседневный"
70,"Мужские джинсы","Классические мужские джинсы из денима, отличающиеся прочностью и универсальностью. Подходят для создания повседневного стиля и легко сочетаются с различными верхами.",3500,"Деним","Всесезонные","Синяя","повседневный"
71,"Мужская куртка","Стильная мужская куртка из нейлона, разработанная для прохладной погоды. Современный крой и функциональные элементы делают её отличным выбором для осенних дней.",7500,"Нейлон","Осень","Черная","повседневный"
72,"Мужские шорты","Удобные мужские шорты из денима, предназначенные для летнего отдыха и активного времяпрепровождения. Легкие, практичные и стильные, они обеспечивают комфорт в жаркую погоду.",2200,"Деним","Лето","Светло-синие","повседневный"
73,"Спортивные лосины","Эластичные спортивные лосины из полиэстера, созданные для занятий спортом и фитнесом. Обеспечивают свободу движений и комфорт при активных тренировках.",2000,"Полиэстер","Всесезонные","Черные","спортивный"
74,"Спортивные кроссовки","Легкие спортивные кроссовки с сетчатым верхом, разработанные для тренировок и активного отдыха. Отличная амортизация и современный дизайн обеспечивают комфорт во время занятий спортом.",3200,"Сетка","Всесезонные","Белые","спортивный"
75,"Мужская жилетка","Легкая мужская жилетка из полиэстера, идеально подходящая для межсезонья и активного отдыха. Добавляет дополнительное тепло и легко комбинируется с другой одеждой.",2700,"Полиэстер","Весна","Серая","повседневный"
76,"Мужской пиджак","Классический мужской пиджак из шерсти, разработанный для деловых встреч и официального стиля. Строгий крой и высококачественная отделка подчеркивают элегантность образа.",5500,"Шерсть","Всесезонные","Темно-синий","деловой"
77,"Мужской костюм","Элегантный мужской костюм, состоящий из пиджака и брюк из шерсти, идеальный для официальных мероприятий. Безупречный крой и традиционный дизайн делают его незаменимым в деловом гардеробе.",12000,"Шерсть","Всесезонные","Черный","деловой"
78,"Мужская обувь","Классические мужские туфли из кожи, разработанные для делового стиля. Элегантный дизайн и качественные материалы обеспечивают комфорт и подчеркивают статус владельца.",5000,"Кожа","Всесезонные","Коричневые","деловой"
79,"Спортивные носки","Набор спортивных носков из хлопка, созданный для тренировок и активного отдыха. Обеспечивают отличную вентиляцию, комфорт и долговечность в повседневном использовании.",800,"Хлопок","Всесезонные","Белые","спортивный"
80,"Мужской ремень","Кожаный мужской ремень, выполненный с тщательной обработкой, который отлично дополняет деловой образ. Универсальный аксессуар, сочетающий практичность и стиль.",1500,"Кожа","Всесезонные","Черный","деловой"
81,"Женская сумочка","Стильная женская сумочка из экокожи, разработанная для повседневного использования. Вместительная и элегантная, она станет незаменимым аксессуаром для создания утонченного образа.",3200,"Экокожа","Всесезонные","Розовая","повседневный"
82,"Пояс-кросс","Модный кожаный пояс-кросс, являющийся ярким акцентом в любом образе. Легкий, универсальный и стильный аксессуар для завершения повседневного наряда.",1200,"Кожа","Всесезонные","Черный","повседневный"
83,"Серьги-кольца","Эффектные серьги-кольца из металла, создающие яркий акцент в вечернем образе. Изысканный дизайн и универсальность делают их идеальным выбором для торжественных случаев.",900,"Металл","Всесезонные","Серебряные","вечерний"
84,"Браслет-цепочка","Изящный браслет-цепочка из металла, который добавляет образу утонченности и стиля. Подходит как для повседневного ношения, так и для вечерних выходов.",700,"Металл","Всесезонные","Золотой","вечерний"
85,"Наручные часы","Элегантные наручные часы с кожаным ремешком, сочетающие точность механизма и стильный дизайн. Идеально подходят для делового и повседневного образа, подчеркивая статус владельца.",4500,"Кожа","Всесезонные","Черные","деловой"
86,"Зонтик складной","Компактный складной зонтик из полиэстера, предназначенный для защиты от дождя. Легкий, прочный и удобный – незаменимый аксессуар в непогоду.",1300,"Полиэстер","Всесезонные","Черный","повседневный"
87,"Головной убор","Модная шляпа из ткани, подходящая для создания стильного летнего образа. Легкая и удобная, она прекрасно дополняет как повседневный, так и нарядный стиль.",1800,"Ткань","Всесезонные","Бежевый","повседневный"
88,"Пляжные шорты","Легкие пляжные шорты из льна, созданные для комфортного отдыха на солнце. Обеспечивают свободу движений и легкость, идеально подходя для жарких летних дней.",2000,"Лен","Лето","Голубые","повседневный"
89,"Купальник","Стильный купальник из полиэстера, разработанный для пляжного отдыха. Обеспечивает комфорт, подчеркивает фигуру и создаёт современный, модный образ.",2500,"Полиэстер","Лето","Черный","повседневный"
90,"Пляжное платье","Легкое платье из шифона, создающее воздушный и романтичный образ для пляжа. Идеально подходит для летних прогулок и праздников, даря ощущение легкости и свежести.",3000,"Шифон","Лето","Белое","повседневный, романтический"
91,"Сандалии на плоской подошве","Удобные сандалии на плоской подошве из кожи, разработанные для ежедневной носки в теплое время года. Практичный дизайн и комфорт обеспечивают лёгкость при ходьбе.",2300,"Кожа","Лето","Коричневые","повседневный"
92,"Мужской свитшот","Удобный мужской свитшот из хлопка, идеально подходящий для создания повседневного образа. Мягкая ткань и классический дизайн делают его незаменимым в прохладные дни.",2100,"Хлопок","Всесезонные","Серый","повседневный"
93,"Детская футболка","Яркая детская футболка из хлопка, созданная для активных игр и повседневной носки. Обеспечивает комфорт, свободу движений и жизнерадостный внешний вид.",1200,"Хлопок","Лето","Желтая","повседневный"
94,"Детские шорты","Легкие детские шорты из хлопка, разработанные для максимального комфорта в жаркие летние дни. Практичные и стильные, способствуют активной игре на свежем воздухе.",1500,"Хлопок","Лето","Синие","повседневный"
95,"Детские брюки","Удобные детские брюки из хлопка, выполненные для активного отдыха и игр. Практичный крой и прочный материал обеспечивают комфорт в повседневной носке.",1800,"Хлопок","Всесезонные","Синие","повседневный"
96,"Детское платье","Модное детское платье из хлопка, созданное для маленьких принцесс. Нежный дизайн, комфортная посадка и яркие оттенки делают его идеальным для праздников и повседневного ношения.",2200,"Хлопок","Лето","Розовое","повседневный"
97,"Детский свитер","Теплый детский свитер из акрила, предназначенный для защиты от холода. Мягкая текстура и яркий дизайн создают уютный и радостный образ для зимнего сезона.",2000,"Акрил","Зима","Красный","повседневный"
98,"Детская куртка","Легкая детская куртка из синтетики, разработанная для осенне-зимнего сезона. Обеспечивает надежную защиту от холода и ветра, сохраняя комфорт даже в переменчивую погоду.",3200,"Синтетика","Осень, Зима","Серебряная","повседневный"
99,"Детские джинсы","Прочные детские джинсы из денима, созданные для активного отдыха и игр. Удобная посадка и долговечный материал делают их идеальными для повседневной носки.",2100,"Деним","Всесезонные","Светло-синие","повседневный"
100,"Детские кроссовки","Удобные детские кроссовки из текстиля, разработанные для активного образа жизни. Легкие, прочные и комфортные, они подойдут для игр и прогулок.",1900,"Текстиль","Всесезонные","Белые","повседневный"
101,"Спортивная толстовка","Толстовка для тренировок и отдыха из хлопка, обладающая удобной посадкой и стильным дизайном. Идеальна для занятий спортом и активного времяпрепровождения.",2600,"Хлопок","Всесезонные","Черная","спортивный"
102,"Леггинсы","Эластичные леггинсы из полиэстера, созданные для занятий спортом и повседневной носки. Обеспечивают свободу движений, комфорт и современный спортивный стиль.",1500,"Полиэстер","Всесезонные","Темно-серые","спортивный"
103,"Спортивный топ","Легкий спортивный топ из синтетики, предназначенный для активных тренировок. Отличается дышащей тканью и свободным кроем, обеспечивая максимальный комфорт во время занятий.",1100,"Синтетика","Лето","Белый","спортивный"
104,"Беговые шорты","Удобные беговые шорты из синтетики, разработанные для занятий бегом и тренировок. Легкий материал и практичный крой обеспечивают комфорт и свободу движений.",1300,"Синтетика","Лето","Серые","спортивный"
105,"Спортивная куртка для бега","Легкая куртка для бега из синтетики, разработанная для защиты от ветра и легкого дождя. Идеальна для утренних пробежек и активного отдыха, сочетая функциональность и стиль.",2800,"Синтетика","Весна","Синяя","спортивный"
106,"Дождевик детский","Яркий детский дождевик из полиэстера, созданный для защиты от дождя и ветра во время прогулок. Практичный и веселый дизайн обеспечивает комфорт даже в ненастную погоду.",1600,"Полиэстер","Весна, Осень","Желтый","повседневный"
107,"Детская кепка","Кепка для детей из ткани, предназначенная для защиты от солнца. Легкая, удобная и стильная, она дополнит летний образ маленького модника.",800,"Ткань","Лето","Синие","повседневный"
108,"Детский ремень","Небольшой детский ремень из кожи, выполненный с учетом комфортной посадки. Практичный аксессуар для завершения образа и обеспечения аккуратности в одежде.",500,"Кожа","Всесезонные","Коричневый","повседневный"
109,"Детский свитшот","Уютный детский свитшот из хлопка, созданный для повседневной носки и активных игр. Мягкая ткань и привлекательный дизайн делают его любимой вещью маленьких модников.",1400,"Хлопок","Всесезонные","Зеленый","повседневный"
110,"Детские носочки","Набор ярких детских носочков из хлопка, разработанный для максимального комфорта и защиты ног во время игр. Практичный и долговечный аксессуар для ежедневного использования.",400,"Хлопок","Всесезонные","Разноцветные","повседневный"
111,"Спортивный костюм женский","Комплект женского спортивного костюма из хлопка и синтетики, обеспечивающий комфорт при тренировках и активном отдыхе. Современный крой и яркий дизайн делают его незаменимым для спорта.",5200,"Хлопок, Синтетика","Всесезонные","Розовый","спортивный"
112,"Платье вечернее","Элегантное вечернее платье с блестящими элементами, выполненное из шелка, созданное для торжественных мероприятий. Утонченный крой, изысканный дизайн и эффектный внешний вид делают его идеальным для особых случаев.",8500,"Шелк","Вечернее","Черное","вечерний"
113,"Джемпер мужской","Уютный мужской джемпер из мягкой шерсти, разработанный для прохладных дней. Классический дизайн, теплый материал и аккуратный крой обеспечивают комфорт и стиль в холодное время года.",4200,"Шерсть","Осень","Темно-синий","повседневный"
114,"Брюки чиносы женские","Легкие женские брюки чиносы из хлопка, созданные для повседневного стиля. Отличаются удобной посадкой и современным дизайном, что позволяет создавать как офисные, так и кэжуал образы.",3100,"Хлопок","Всесезонные","Бежевый","повседневный"
115,"Тренч пальто","Классическое тренч-пальто из хлопка и полиэстера, идеально подходящее для дождливой погоды. Продуманный крой, водоотталкивающая пропитка и элегантный стиль делают его незаменимым в межсезонье.",7000,"Хлопок, Полиэстер","Весна","Камель","повседневный"
116,"Кроссовки для бега","Легкие кроссовки для бега из синтетики, созданные для обеспечения отличной амортизации и поддержки стопы. Современный дизайн и функциональные технологии обеспечивают комфорт во время тренировок.",4800,"Синтетика","Всесезонные","Серые","спортивный"
117,"Легкое летнее платье","Воздушное летнее платье из льна, разработанное для жарких дней. Обеспечивает максимальный комфорт, легкость и романтичный образ, идеально подходящий для отдыха на природе.",3300,"Лен","Лето","Белое","повседневный, романтический"
118,"Кожаная куртка мужская","Стильная мужская кожаная куртка из натуральной кожи, созданная для повседневного ношения. Прочная, модная и универсальная, она добавляет смелости любому образу.",15000,"Кожа","Всесезонные","Черная","повседневный"
119,"Юбка-тюль","Легкая юбка-тюль из прозрачного тюля, создающая романтичный и воздушный образ. Идеальна для летних мероприятий и вечерних выходов, подчеркивая нежность и женственность.",2800,"Тюль","Лето","Розовая","вечерний"
120,"Спортивные штаны","Удобные спортивные штаны из полиэстера, разработанные для занятий спортом и активного отдыха. Легкий материал и практичный крой обеспечивают свободу движений и комфорт.",2500,"Полиэстер","Всесезонные","Черные","спортивный"
121,"Водолазка женская","Облегающая женская водолазка из акрила, созданная для создания стильного образа в холодное время года. Эластичный крой, яркий цвет и современный дизайн делают её незаменимой в зимний период.",3000,"Акрил","Зима","Красная","повседневный"
